2023-06-10 13:47:39.774 [info] [Info  - 1:47:39 PM] (2769136) Pylance language server 2023.6.10 (pyright 7784093a) starting
2023-06-10 13:47:39.775 [info] [Info  - 1:47:39 PM] (2769136) Server root directory: /home/shubham/.vscode-server/extensions/ms-python.vscode-pylance-2023.6.10/dist
2023-06-10 13:47:39.776 [info] [Info  - 1:47:39 PM] (2769136) Starting service instance "DrNilakshiJain-main"
2023-06-10 13:47:39.850 [info] [Info  - 1:47:39 PM] (2769136) Setting pythonPath for service "DrNilakshiJain-main": "/bin/python3"
2023-06-10 13:47:39.855 [info] [Info  - 1:47:39 PM] (2769136) Loading pyproject.toml file at /home/shubham/DrNilakshiJain-main/pyproject.toml
2023-06-10 13:47:39.858 [info] [Info  - 1:47:39 PM] (2769136) Pyproject file "/home/shubham/DrNilakshiJain-main/pyproject.toml" has no "[tool.pyright]" section.
2023-06-10 13:47:39.859 [info] [Warn  - 1:47:39 PM] (2769136) stubPath /home/shubham/DrNilakshiJain-main/typings is not a valid directory.
2023-06-10 13:47:39.918 [info] [Info  - 1:47:39 PM] (2769136) Assuming Python version 3.10
2023-06-10 13:47:40.065 [info] [Info  - 1:47:40 PM] (2769136) Auto-excluding /home/shubham/DrNilakshiJain-main/nilakshijain/myenv
2023-06-10 13:47:40.101 [info] [Info  - 1:47:40 PM] (2769136) Found 44 source files
2023-06-10 13:47:40.556 [info] [Info  - 1:47:40 PM] (2769136) Background analysis(1) root directory: /home/shubham/.vscode-server/extensions/ms-python.vscode-pylance-2023.6.10/dist
2023-06-10 13:47:40.560 [info] [Info  - 1:47:40 PM] (2769136) Background analysis(1) started
